time(s),energy(eV),exchange_energy(eV),dm_energy(eV),field_energy(eV),anisotropy_energy(eV),cubic_anisotropy_energy(eV),charge_finite,charge_lattice,avg_mx,avg_my,avg_mz,eletric_x,eletric_y,eletric_z,magnetic_lattice_x,magnetic_lattice_y,magnetic_lattice_z,magnetic_derivative_x,magnetic_derivative_y,magnetic_derivative_z
1.679999999999955e-11,-1.072342383689449e-18,-2.392276225447262e-18,3.707031294338105e-19,-5.380676416200189e-20,-7.749071520719344e-21,0.000000000000000e+00,2.548008456433853e+01,3.099999999999995e+01,-2.250788304835602e-02,-1.137264755359798e-02,-4.555059228305444e-01,-3.639492808503074e-17,7.458342521360603e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297585e-14,0.000000000000000e+00,0.000000000000000e+00,1.677129631409182e-14
1.739999999999953e-11,-1.074877099124881e-18,-2.394798634147210e-18,3.689661349828105e-19,-5.418932554609574e-20,-7.771523996579733e-21,0.000000000000000e+00,2.562229711171037e+01,3.100000000000004e+01,-2.243909923353409e-02,-9.721549945219021e-03,-4.587445300765839e-01,-3.598626780500434e-17,7.268264907221193e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297584e-14,0.000000000000000e+00,0.000000000000000e+00,1.686490231314296e-14
1.799999999999950e-11,-1.077595881759026e-18,-2.397315931584833e-18,3.668784432386520e-19,-5.458527127561582e-20,-7.791866310319873e-21,0.000000000000000e+00,2.567270035069123e+01,3.100000000000006e+01,-2.182782788585993e-02,-8.296758070358212e-03,-4.620964436830770e-01,-3.674923606959631e-17,7.294345613551176e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297587e-14,0.000000000000000e+00,0.000000000000000e+00,1.689807832768895e-14
1.859999999999948e-11,-1.080361726853650e-18,-2.399763706340176e-18,3.646333341521399e-19,-5.498609387190609e-20,-7.810446887726240e-21,0.000000000000000e+00,2.570283814630030e+01,3.100000000000014e+01,-2.087669003756030e-02,-7.230532324208264e-03,-4.654896428367145e-01,-3.787115688475115e-17,7.376212392742685e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297584e-14,0.000000000000000e+00,0.000000000000000e+00,1.691791538510282e-14
1.919999999999946e-11,-1.083043806461053e-18,-2.402082505546694e-18,3.624010931710596e-19,-5.537528646173599e-20,-7.827813811501468e-21,0.000000000000000e+00,2.572770418305282e+01,3.100000000000003e+01,-1.974212044932946e-02,-6.554716146458092e-03,-4.687843871416408e-01,-3.911856034582226e-17,7.478074996660635e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297580e-14,0.000000000000000e+00,0.000000000000000e+00,1.693428250780532e-14
1.979999999999944e-11,-1.085529081957675e-18,-2.404201884391985e-18,3.603155024293478e-19,-5.573933828671947e-20,-7.846552689636476e-21,0.000000000000000e+00,2.575190620368814e+01,3.100000000000009e+01,-1.855926634712210e-02,-6.251807969934594e-03,-4.718663000773072e-01,-4.005493164311777e-17,7.570039589128546e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297583e-14,0.000000000000000e+00,0.000000000000000e+00,1.695021256716001e-14
2.039999999999941e-11,-1.087804645125408e-18,-2.406128200977457e-18,3.584008876196829e-19,-5.607431135449719e-20,-7.866677092019172e-21,0.000000000000000e+00,2.577890545820118e+01,3.099999999999999e+01,-1.742905030207221e-02,-6.306136285791544e-03,-4.747020442209638e-01,-4.071136077993491e-17,7.664467080807255e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297581e-14,0.000000000000000e+00,0.000000000000000e+00,1.696798379929842e-14
2.099999999999939e-11,-1.089898878338966e-18,-2.407893807033843e-18,3.566367146651776e-19,-5.638442258360511e-20,-7.885909571027184e-21,0.000000000000000e+00,2.581098373046144e+01,3.099999999999999e+01,-1.641559670127190e-02,-6.681989728845284e-03,-4.773273182695898e-01,-4.115038353988829e-17,7.775791523676790e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297578e-14,0.000000000000000e+00,0.000000000000000e+00,1.698909810164541e-14
2.159999999999937e-11,-1.091833407100037e-18,-2.409519182412258e-18,3.550073055375682e-19,-5.667486827536674e-20,-7.902600387327978e-21,0.000000000000000e+00,2.584827343383634e+01,3.099999999999997e+01,-1.554570005595988e-02,-7.306377227690831e-03,-4.797861119718025e-01,-4.145218786982925e-17,7.902006852411994e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297586e-14,0.000000000000000e+00,0.000000000000000e+00,1.701364263026296e-14
2.219999999999935e-11,-1.093620791552825e-18,-2.411018148564177e-18,3.535043906239531e-19,-5.694731052454610e-20,-7.916602058164586e-21,0.000000000000000e+00,2.589033173736268e+01,3.099999999999997e+01,-1.481088703191522e-02,-8.077916169324347e-03,-4.820924959378928e-01,-4.168219908542607e-17,8.026261105083472e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297584e-14,0.000000000000000e+00,0.000000000000000e+00,1.704132590851607e-14
