time(s),energy(eV),exchange_energy(eV),dm_energy(eV),field_energy(eV),anisotropy_energy(eV),cubic_anisotropy_energy(eV),charge_finite,charge_lattice,avg_mx,avg_my,avg_mz,eletric_x,eletric_y,eletric_z,magnetic_lattice_x,magnetic_lattice_y,magnetic_lattice_z,magnetic_derivative_x,magnetic_derivative_y,magnetic_derivative_z
5.500000000000070e-12,-9.776107008917378e-19,-2.268922196901281e-18,3.973119185442378e-19,-4.180556171321396e-20,0.000000000000000e+00,0.000000000000000e+00,-1.702384498031310e+01,-2.200000000000001e+01,3.383662158858979e-02,-1.099152839376201e-02,3.539086816351372e-01,-6.668543617406888e-17,-6.578317407650384e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404733e-14,0.000000000000000e+00,0.000000000000000e+00,-1.120529831245509e-14
6.000000000000078e-12,-9.890114702701770e-19,-2.287708253565007e-18,3.958661947724619e-19,-4.309044087390310e-20,0.000000000000000e+00,0.000000000000000e+00,-1.709018176836451e+01,-2.099999999999999e+01,2.916797328872008e-02,-7.497251527303959e-03,3.647859398559324e-01,-5.364393803141502e-17,-6.498827285787549e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.382245108749979e-14,0.000000000000000e+00,0.000000000000000e+00,-1.124896197950949e-14
6.500000000000086e-12,-9.986172073137639e-19,-2.303935752947736e-18,3.945250417532402e-19,-4.391185171651810e-20,0.000000000000000e+00,0.000000000000000e+00,-1.724288865458413e+01,-2.100000000000000e+01,2.530389990734575e-02,-5.587928430669343e-03,3.717396660224384e-01,-4.911866440113758e-17,-7.508689742360663e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.382245108749976e-14,0.000000000000000e+00,0.000000000000000e+00,-1.134947547786636e-14
7.000000000000094e-12,-1.007181721213131e-18,-2.318603675809185e-18,3.929629294780171e-19,-4.436134804754426e-20,0.000000000000000e+00,0.000000000000000e+00,-1.742975851552310e+01,-2.099999999999997e+01,2.240763218283632e-02,-6.412019600741102e-03,3.755449169841309e-01,-5.333334472432745e-17,-8.800518207118362e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.382245108749977e-14,0.000000000000000e+00,0.000000000000000e+00,-1.147247545465486e-14
7.500000000000066e-12,-1.013769585274391e-18,-2.330653920334141e-18,3.921107938457127e-19,-4.449802203017770e-20,0.000000000000000e+00,0.000000000000000e+00,-1.775257196868980e+01,-2.199999999999996e+01,2.035198904224472e-02,-8.933133383705574e-03,3.767019426770146e-01,-5.010023928672193e-17,-8.976452468600509e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404733e-14,0.000000000000000e+00,0.000000000000000e+00,-1.168495512926351e-14
7.999999999999993e-12,-1.018640823900323e-18,-2.340354137507236e-18,3.918775625464838e-19,-4.440253641995081e-20,0.000000000000000e+00,0.000000000000000e+00,-1.799258132725532e+01,-2.199999999999993e+01,1.934882572044706e-02,-1.207736548842470e-02,3.758936007950805e-01,-4.566605379433520e-17,-8.621799827504025e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404737e-14,0.000000000000000e+00,0.000000000000000e+00,-1.184293215875469e-14
8.499999999999921e-12,-1.022719700480251e-18,-2.348552410981790e-18,3.915759431738614e-19,-4.423146657628432e-20,0.000000000000000e+00,0.000000000000000e+00,-1.811458902972916e+01,-2.200000000000000e+01,1.942615043466350e-02,-1.545379142403756e-02,3.744453938972804e-01,-4.406694221339638e-17,-7.998717308548808e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404732e-14,0.000000000000000e+00,0.000000000000000e+00,-1.192323908731391e-14
8.999999999999848e-12,-1.026438253299088e-18,-2.355532271661949e-18,3.909499849809189e-19,-4.414710995857578e-20,0.000000000000000e+00,0.000000000000000e+00,-1.825027088819649e+01,-2.200000000000000e+01,2.033135589294803e-02,-1.895270400004346e-02,3.737312654862028e-01,-4.251352465367437e-17,-7.562417940925078e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404739e-14,0.000000000000000e+00,0.000000000000000e+00,-1.201254650884366e-14
9.499999999999775e-12,-1.029815709042166e-18,-2.361314928102844e-18,3.901287244487481e-19,-4.422260721511573e-20,0.000000000000000e+00,0.000000000000000e+00,-1.836153585556853e+01,-2.199999999999994e+01,2.159649987920968e-02,-2.235665004833016e-02,3.743703941914316e-01,-4.164855762903377e-17,-7.266713232358507e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404735e-14,0.000000000000000e+00,0.000000000000000e+00,-1.208578244071286e-14
9.999999999999702e-12,-1.032821563542790e-18,-2.366029807161150e-18,3.892805318965445e-19,-4.444692591049023e-20,0.000000000000000e+00,0.000000000000000e+00,-1.843505908861293e+01,-2.199999999999999e+01,2.277460518901095e-02,-2.535542095701430e-02,3.762693839548218e-01,-4.214611295315806e-17,-7.020337454302853e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404736e-14,0.000000000000000e+00,0.000000000000000e+00,-1.213417631178670e-14
